                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.43489,                0.27432,                0.78849,                0.99767,                0.99752,                0.99393,                0.94777,                0.34803,                0.25826,                0.75553,             0.00054478,             0.00054478,             0.00054478
                     71,                0.43525,                0.27409,                 0.7891,                0.99728,                0.99765,                0.99398,                0.95632,                0.32639,                0.25396,                0.75443,             0.00052827,             0.00052827,             0.00052827
                     72,                0.42861,                0.27153,                0.78801,                0.99797,                0.99778,                0.99393,                0.95651,                0.32906,                 0.2505,                0.75457,             0.00051177,             0.00051177,             0.00051177
                     73,                0.42241,                0.26847,                0.78753,                0.99765,                0.99769,                0.99402,                0.95718,                0.32832,                0.25125,                0.75459,             0.00049527,             0.00049527,             0.00049527
                     74,                0.41877,                0.26911,                 0.7876,                0.99737,                 0.9972,                0.99397,                0.95881,                0.31767,                0.24968,                0.75398,             0.00047876,             0.00047876,             0.00047876
                     75,                0.41903,                0.26812,                0.78724,                0.99777,                0.99767,                0.99404,                0.95908,                0.32778,                0.24954,                0.75511,             0.00046226,             0.00046226,             0.00046226
                     76,                0.41733,                0.26752,                0.78763,                0.99767,                0.99775,                  0.994,                0.95927,                0.31719,                0.24664,                0.75382,             0.00044576,             0.00044576,             0.00044576
                     77,                0.41044,                0.26486,                 0.7872,                0.99759,                0.99769,                0.99401,                0.96058,                0.31696,                0.24544,                0.75401,             0.00042925,             0.00042925,             0.00042925
                     78,                0.41163,                0.26305,                0.78692,                 0.9974,                0.99795,                0.99406,                0.96123,                0.31657,                0.24569,                0.75385,             0.00041275,             0.00041275,             0.00041275
                     79,                0.40581,                0.26223,                0.78687,                0.99731,                0.99814,                0.99396,                0.96131,                0.31317,                0.24376,                0.75391,             0.00039625,             0.00039625,             0.00039625
                     80,                0.40837,                0.26318,                0.78722,                0.99712,                0.99783,                0.99404,                0.96377,                 0.3067,                0.24208,                0.75346,             0.00037974,             0.00037974,             0.00037974
                     81,                0.40571,                0.26205,                0.78686,                0.99794,                0.99773,                0.99401,                0.96055,                0.30982,                  0.242,                0.75327,             0.00036324,             0.00036324,             0.00036324
                     82,                0.40179,                0.25936,                0.78547,                0.99777,                0.99782,                0.99397,                0.96372,                 0.3065,                0.24205,                 0.7533,             0.00034674,             0.00034674,             0.00034674
                     83,                0.39748,                0.25825,                0.78536,                0.99752,                0.99795,                0.99407,                0.96429,                0.29973,                 0.2386,                0.75254,             0.00033023,             0.00033023,             0.00033023
                     84,                0.39867,                0.25845,                0.78599,                0.99772,                0.99774,                0.99399,                0.96148,                0.30674,                0.24069,                0.75302,             0.00031373,             0.00031373,             0.00031373
                     85,                0.39704,                0.25648,                0.78508,                0.99784,                0.99779,                0.99397,                0.96441,                0.30018,                0.23783,                0.75269,             0.00029723,             0.00029723,             0.00029723
                     86,                0.39139,                0.25464,                0.78533,                0.99779,                0.99768,                0.99397,                 0.9646,                0.30297,                0.24046,                0.75305,             0.00028072,             0.00028072,             0.00028072
                     87,                0.39376,                0.25543,                0.78541,                0.99798,                0.99777,                0.99403,                0.96201,                 0.3059,                  0.241,                0.75265,             0.00026422,             0.00026422,             0.00026422
                     88,                0.38963,                0.25418,                0.78479,                0.99808,                0.99768,                0.99404,                0.96587,                 0.2947,                0.23567,                0.75232,             0.00024772,             0.00024772,             0.00024772
                     89,                0.38201,                0.24952,                0.78499,                0.99791,                 0.9977,                  0.994,                0.96868,                0.28436,                0.23277,                0.75148,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.3759,                0.24732,                0.78404,                 0.9977,                 0.9979,                0.99395,                 0.9678,                0.28725,                0.23271,                0.75178,             0.00021471,             0.00021471,             0.00021471
                     91,                0.34953,                0.23455,                0.77837,                0.99754,                  0.998,                0.99385,                0.96252,                0.31131,                0.24125,                0.75326,             0.00019821,             0.00019821,             0.00019821
                     92,                0.33169,                0.22631,                0.77704,                0.99789,                 0.9976,                0.99387,                0.96526,                0.29929,                0.23645,                0.75237,              0.0001817,              0.0001817,              0.0001817
                     93,                0.32999,                0.22475,                0.77735,                 0.9976,                0.99769,                0.99393,                0.96598,                0.29686,                0.23596,                0.75233,              0.0001652,              0.0001652,              0.0001652
                     94,                0.31912,                0.22074,                0.77598,                0.99732,                0.99783,                0.99406,                0.96712,                0.29478,                0.23458,                0.75245,              0.0001487,              0.0001487,              0.0001487
                     95,                0.31332,                0.21834,                0.77618,                0.99781,                0.99761,                0.99406,                0.96896,                0.28632,                0.23122,                0.75166,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.3108,                0.21723,                0.77545,                0.99775,                0.99773,                0.99407,                0.96822,                0.28941,                0.23016,                  0.752,             0.00011569,             0.00011569,             0.00011569
                     97,                0.31117,                0.21779,                0.77555,                0.99764,                0.99771,                0.99413,                 0.9682,                0.28839,                 0.2311,                0.75184,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.3016,                0.21332,                0.77469,                0.99772,                 0.9977,                0.99404,                0.96956,                0.28312,                0.22853,                0.75135,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.30207,                0.21377,                0.77488,                 0.9978,                0.99765,                0.99408,                0.96927,                0.28385,                0.22909,                0.75138,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.29642,                0.21144,                0.77392,                0.99788,                0.99774,                 0.9941,                0.97088,                 0.2807,                0.22816,                0.75129,             4.9677e-05,             4.9677e-05,             4.9677e-05
